0 | Kornienko | Elena | 35 | 14 
1 | Ossa | Achmed | 20 | 8 
2 | Chernych | Ekaterina | 9 | 8 
3 | Meye | Nikita | 28 | 17 
4 | Kot | Sonya | 16 | 14 
5 | Kornienko | Sonya | 38 | 6 
6 | Bobr | Ekaterina | 48 | 28 
7 | Meye | Vladislav | 18 | 7 
8 | Meye | Elena | 12 | 5 
9 | Ossa | Oleg | 34 | 11 
10 | Kornienko | Dmitriy | 6 | 5 
11 | Meye | Avetis | 8 | 4 
12 | Meye | Alexey | 44 | 27 
13 | Erochevich | Ekaterina | 46 | 30 
14 | Rozental | Sonya | 19 | 17 
15 | Meye | Alexey | 15 | 3 
16 | Meuler | Oleg | 4 | 3 
17 | Meuler | Ekaterina | 20 | 20 
18 | Meuler | Alexandr | 10 | 10 
19 | Rozental | Dmitriy | 49 | 38 
20 | Rozental | Ekaterina | 45 | 42 
21 | Meuler | Ekaterina | 3 | 3 
22 | Ossa | Alexandr | 32 | 16 
23 | Kot | Nikita | 19 | 6 
24 | Rozental | Ekaterina | 7 | 4 
25 | Bobr | Sonya | 17 | 9 
26 | Meye | Elena | 23 | 16 
27 | Pogrebnyak | Alexey | 7 | 5 
28 | Erochevich | Artem | 8 | 5 
29 | Rozental | Vladislav | 3 | 3 
30 | Ossa | Sonya | 18 | 14 
31 | Pogrebnyak | Alexey | 16 | 16 
32 | Kot | Dmitriy | 39 | 17 
33 | Chernych | Alexandr | 12 | 11 
34 | Rozental | Vladislav | 34 | 17 
35 | Pogrebnyak | Oleg | 11 | 11 
36 | Meuler | Ekaterina | 43 | 34 
37 | Erochevich | Sonya | 37 | 24 
38 | Kornienko | Avetis | 7 | 6 
39 | Meuler | Artem | 23 | 17 
40 | Fischer | Valentin | 25 | 5 
41 | Fischer | Oleg | 35 | 32 
42 | Grechko | Artem | 23 | 20 
43 | Pogrebnyak | Artem | 44 | 6 
44 | Chernych | Elena | 12 | 7 
45 | Rozental | Oleg | 20 | 20 
46 | Kot | Sonya | 30 | 24 
47 | Kot | Elena | 19 | 15 
48 | Grechko | Vladislav | 26 | 13 
49 | Meuler | Alexandr | 19 | 4 
50 | Bobr | Vladislav | 21 | 20 
51 | Erochevich | Oleg | 49 | 15 
52 | Kornienko | Avetis | 27 | 11 
53 | Bobr | Vladislav | 43 | 31 
54 | Meuler | Avetis | 41 | 27 
55 | Pogrebnyak | Vladislav | 18 | 18 
56 | Bobr | Dmitriy | 38 | 4 
57 | Erochevich | Ekaterina | 5 | 5 
58 | Kornienko | Alexandr | 24 | 15 
59 | Bobr | Oleg | 12 | 4 
60 | Pogrebnyak | Sonya | 45 | 9 
61 | Meye | Alexandr | 42 | 12 
62 | Kornienko | Dmitriy | 28 | 15 
63 | Pogrebnyak | Vladislav | 33 | 30 
64 | Meuler | Alexey | 40 | 20 
65 | Erochevich | Valentin | 33 | 23 
66 | Meye | Ekaterina | 44 | 5 
67 | Kornienko | Avetis | 15 | 9 
68 | Rozental | Avetis | 25 | 12 
69 | Pogrebnyak | Valentin | 22 | 19 
70 | Meuler | Alexandr | 28 | 17 
71 | Kornienko | Avetis | 35 | 32 
72 | Chernych | Dmitriy | 14 | 4 
73 | Fischer | Achmed | 15 | 15 
74 | Fischer | Achmed | 18 | 8 
75 | Kot | Valentin | 8 | 6 
76 | Grechko | Ekaterina | 4 | 4 
77 | Rozental | Elena | 15 | 3 
78 | Grechko | Oleg | 11 | 8 
79 | Erochevich | Vladislav | 15 | 15 
