0 | Ossa | Nikita | Day group | 53 | 629 | 75 | 352
1 | Rozental | Alexey | Evening group | 44 | 641 | 542 | 927
2 | Chernych | Marina | Evening group | 18 | 211 | 804 | 401
3 | Kot | Nikita | Day group | 0 | 338 | 229 | 800
4 | Fischer | Alexandr | Evening group | 2 | 306 | 610 | 832
5 | Meye | Elena | Evening group | 8 | 722 | 479 | 824
6 | Kot | Dmitriy | Evening group | 29 | 678 | 567 | 20
7 | Meuler | Nikita | Evening group | 40 | 135 | 515 | 299
8 | Kot | Maria | Day group | 8 | 709 | 268 | 672
9 | Bobr | Marina | Day group | 46 | 853 | 614 | 95
10 | Rozental | Anastasia | Evening group | 12 | 837 | 698 | 825
11 | Chernych | Sonya | Day group | 56 | 641 | 494 | 997
12 | Bobr | Elena | Day group | 47 | 238 | 982 | 267
13 | Meye | Anastasia | Evening group | 28 | 596 | 619 | 794
14 | Grechko | Vladislav | Day group | 18 | 660 | 605 | 649
15 | Ossa | Dmitriy | Day group | 56 | 135 | 750 | 185
16 | Meye | Maria | Day group | 17 | 5 | 848 | 565
17 | Ossa | Alexey | Evening group | 17 | 869 | 848 | 279
18 | Fischer | Artem | Day group | 56 | 815 | 366 | 805
19 | Kornienko | Dmitriy | Day group | 13 | 135 | 702 | 165
20 | Fischer | Dmitriy | Day group | 56 | 205 | 995 | 200
21 | Rozental | Vladislav | Evening group | 17 | 894 | 169 | 94
22 | Fischer | Vladislav | Day group | 51 | 420 | 717 | 249
23 | Fischer | Alexey | Day group | 49 | 261 | 134 | 382
24 | Fischer | Sonya | Evening group | 16 | 811 | 421 | 700
25 | Kornienko | Elena | Day group | 29 | 606 | 245 | 824
26 | Pogrebnyak | Sonya | Evening group | 10 | 885 | 550 | 766
27 | Erochevich | Valentin | Day group | 47 | 693 | 871 | 568
28 | Grechko | Achmed | Day group | 4 | 294 | 673 | 664
29 | Chernych | Alexey | Evening group | 49 | 361 | 409 | 251
30 | Chernych | Sonya | Evening group | 19 | 138 | 357 | 870
31 | Fischer | Elena | Evening group | 38 | 367 | 909 | 156
32 | Meye | Valentin | Day group | 44 | 266 | 867 | 57
33 | Bobr | Achmed | Evening group | 42 | 814 | 195 | 383
34 | Kot | Dmitriy | Evening group | 51 | 288 | 361 | 122
35 | Grechko | Sonya | Evening group | 35 | 722 | 311 | 717
36 | Bobr | Maria | Evening group | 26 | 924 | 292 | 837
37 | Grechko | Elena | Day group | 49 | 734 | 915 | 262
38 | Rozental | Nikita | Evening group | 3 | 11 | 436 | 275
39 | Pogrebnyak | Anastasia | Evening group | 43 | 692 | 586 | 386
40 | Bobr | Marina | Evening group | 48 | 600 | 218 | 20
41 | Fischer | Marina | Day group | 30 | 586 | 557 | 640
42 | Meye | Oleg | Evening group | 21 | 617 | 322 | 855
43 | Chernych | Nikita | Day group | 26 | 840 | 112 | 360
44 | Meye | Anastasia | Evening group | 11 | 312 | 20 | 620
45 | Meye | Sonya | Day group | 2 | 171 | 556 | 917
46 | Kornienko | Maria | Evening group | 49 | 757 | 462 | 350
47 | Fischer | Sonya | Day group | 37 | 290 | 34 | 274
48 | Fischer | Valentin | Day group | 42 | 162 | 151 | 775
49 | Chernych | Elena | Day group | 47 | 71 | 115 | 849
50 | Fischer | Anastasia | Day group | 42 | 607 | 910 | 695
51 | Kot | Valentin | Evening group | 17 | 722 | 232 | 858
52 | Meye | Alexandr | Evening group | 27 | 950 | 582 | 191
53 | Meye | Dmitriy | Evening group | 53 | 877 | 904 | 456
54 | Meye | Valentin | Evening group | 19 | 105 | 222 | 348
55 | Fischer | Nikita | Evening group | 11 | 420 | 617 | 7
56 | Ossa | Achmed | Evening group | 14 | 917 | 889 | 86
57 | Rozental | Alexey | Day group | 25 | 264 | 942 | 295
58 | Chernych | Maria | Evening group | 31 | 148 | 285 | 405
59 | Meye | Achmed | Day group | 41 | 972 | 894 | 15
60 | Kornienko | Marina | Evening group | 48 | 236 | 466 | 727
61 | Chernych | Maria | Evening group | 49 | 968 | 576 | 731
62 | Chernych | Oleg | Day group | 34 | 959 | 297 | 235
63 | Rozental | Marina | Evening group | 7 | 542 | 562 | 768
64 | Pogrebnyak | Alexey | Day group | 41 | 535 | 758 | 347
65 | Chernych | Achmed | Day group | 30 | 707 | 524 | 350
66 | Erochevich | Valentin | Evening group | 54 | 647 | 561 | 85
67 | Grechko | Oleg | Evening group | 44 | 409 | 96 | 806
68 | Grechko | Valentin | Evening group | 56 | 949 | 778 | 683
69 | Kornienko | Valentin | Day group | 24 | 560 | 790 | 766
70 | Rozental | Vladislav | Day group | 32 | 946 | 112 | 270
71 | Rozental | Achmed | Day group | 16 | 842 | 723 | 366
72 | Meye | Marina | Evening group | 33 | 409 | 429 | 614
73 | Meuler | Maria | Day group | 15 | 622 | 652 | 555
74 | Pogrebnyak | Marina | Day group | 15 | 456 | 211 | 917
75 | Erochevich | Nikita | Evening group | 14 | 488 | 531 | 376
76 | Meye | Valentin | Day group | 25 | 146 | 526 | 686
77 | Rozental | Nikita | Evening group | 24 | 193 | 667 | 177
78 | Erochevich | Maria | Evening group | 42 | 849 | 247 | 195
79 | Chernych | Sonya | Evening group | 32 | 163 | 978 | 384
80 | Chernych | Oleg | Day group | 17 | 795 | 55 | 746
81 | Erochevich | Marina | Evening group | 8 | 981 | 587 | 77
82 | Kornienko | Oleg | Day group | 18 | 142 | 329 | 630
83 | Pogrebnyak | Nikita | Day group | 4 | 832 | 310 | 350
84 | Kornienko | Achmed | Evening group | 50 | 614 | 431 | 545
85 | Meye | Alexandr | Day group | 34 | 213 | 843 | 122
86 | Kot | Valentin | Day group | 9 | 878 | 181 | 341
87 | Kot | Valentin | Evening group | 39 | 589 | 365 | 379
88 | Pogrebnyak | Elena | Day group | 6 | 230 | 812 | 172
89 | Kot | Achmed | Day group | 26 | 236 | 219 | 710
90 | Rozental | Elena | Evening group | 7 | 570 | 191 | 972
91 | Ossa | Alexandr | Evening group | 45 | 439 | 656 | 105
92 | Grechko | Dmitriy | Evening group | 35 | 56 | 998 | 90
93 | Grechko | Maria | Day group | 50 | 913 | 50 | 462
94 | Rozental | Artem | Day group | 51 | 540 | 251 | 410
95 | Meuler | Anastasia | Day group | 29 | 15 | 765 | 662
96 | Erochevich | Marina | Day group | 4 | 473 | 496 | 389
97 | Pogrebnyak | Alexandr | Day group | 48 | 542 | 773 | 269
98 | Meye | Valentin | Day group | 24 | 158 | 921 | 299
99 | Kornienko | Artem | Day group | 2 | 330 | 590 | 447
100 | Bobr | Artem | Evening group | 54 | 870 | 386 | 855
101 | Erochevich | Nikita | Evening group | 56 | 92 | 163 | 742
102 | Meye | Sonya | Day group | 50 | 600 | 429 | 843
103 | Rozental | Alexey | Day group | 40 | 904 | 451 | 423
104 | Rozental | Anastasia | Evening group | 10 | 495 | 63 | 115
105 | Bobr | Alexey | Evening group | 31 | 935 | 707 | 712
106 | Pogrebnyak | Valentin | Evening group | 18 | 608 | 651 | 936
107 | Kornienko | Elena | Evening group | 53 | 538 | 597 | 936
108 | Fischer | Marina | Day group | 7 | 649 | 77 | 964
109 | Fischer | Valentin | Day group | 32 | 484 | 38 | 289
110 | Pogrebnyak | Alexandr | Day group | 31 | 899 | 446 | 371
111 | Fischer | Sonya | Day group | 29 | 520 | 673 | 609
112 | Kornienko | Oleg | Day group | 15 | 930 | 543 | 438
113 | Meuler | Dmitriy | Evening group | 25 | 549 | 246 | 104
114 | Meuler | Maria | Evening group | 24 | 837 | 0 | 866
115 | Pogrebnyak | Alexey | Evening group | 1 | 868 | 53 | 331
116 | Kot | Achmed | Evening group | 39 | 922 | 149 | 138
117 | Bobr | Maria | Day group | 23 | 118 | 479 | 637
118 | Bobr | Alexey | Day group | 44 | 780 | 721 | 870
119 | Meye | Achmed | Evening group | 13 | 252 | 487 | 720
120 | Ossa | Artem | Day group | 37 | 367 | 537 | 608
121 | Erochevich | Anastasia | Day group | 0 | 970 | 228 | 324
122 | Meye | Anastasia | Evening group | 5 | 35 | 690 | 746
123 | Chernych | Marina | Evening group | 1 | 488 | 615 | 188
124 | Chernych | Maria | Evening group | 10 | 664 | 973 | 689
125 | Meye | Alexandr | Evening group | 50 | 80 | 689 | 883
126 | Grechko | Valentin | Evening group | 33 | 939 | 659 | 608
127 | Ossa | Dmitriy | Day group | 12 | 82 | 354 | 805
128 | Rozental | Alexandr | Evening group | 13 | 618 | 11 | 912
129 | Rozental | Valentin | Day group | 46 | 145 | 635 | 336
130 | Fischer | Sonya | Day group | 26 | 890 | 681 | 148
131 | Erochevich | Sonya | Day group | 14 | 351 | 606 | 498
132 | Pogrebnyak | Artem | Evening group | 16 | 98 | 811 | 485
133 | Chernych | Alexey | Evening group | 20 | 664 | 836 | 790
134 | Rozental | Valentin | Evening group | 55 | 664 | 550 | 990
135 | Ossa | Oleg | Evening group | 50 | 830 | 860 | 221
136 | Pogrebnyak | Alexey | Evening group | 48 | 144 | 282 | 259
137 | Chernych | Elena | Day group | 7 | 800 | 19 | 451
138 | Rozental | Artem | Day group | 7 | 784 | 357 | 565
139 | Chernych | Alexandr | Day group | 4 | 681 | 435 | 964
140 | Bobr | Maria | Evening group | 10 | 576 | 521 | 609
141 | Fischer | Sonya | Day group | 36 | 299 | 465 | 820
142 | Ossa | Artem | Evening group | 41 | 371 | 857 | 195
143 | Pogrebnyak | Achmed | Day group | 11 | 613 | 723 | 455
144 | Meuler | Sonya | Day group | 30 | 165 | 771 | 277
145 | Fischer | Achmed | Day group | 26 | 113 | 269 | 89
146 | Kornienko | Valentin | Evening group | 21 | 105 | 967 | 785
147 | Ossa | Achmed | Evening group | 1 | 430 | 838 | 381
148 | Bobr | Sonya | Day group | 22 | 228 | 564 | 699
149 | Chernych | Artem | Evening group | 27 | 19 | 127 | 7
150 | Rozental | Marina | Evening group | 56 | 501 | 23 | 849
151 | Erochevich | Valentin | Day group | 22 | 827 | 771 | 785
152 | Grechko | Alexey | Evening group | 40 | 510 | 171 | 8
153 | Pogrebnyak | Artem | Evening group | 17 | 443 | 349 | 583
154 | Meuler | Valentin | Evening group | 41 | 171 | 208 | 285
155 | Meye | Elena | Evening group | 44 | 122 | 359 | 408
156 | Fischer | Anastasia | Evening group | 24 | 215 | 679 | 811
157 | Meuler | Anastasia | Evening group | 15 | 173 | 712 | 288
158 | Erochevich | Anastasia | Evening group | 1 | 176 | 660 | 57
159 | Bobr | Valentin | Evening group | 8 | 228 | 851 | 208
160 | Fischer | Sonya | Evening group | 46 | 728 | 701 | 400
161 | Fischer | Marina | Evening group | 55 | 262 | 417 | 639
162 | Kornienko | Sonya | Day group | 53 | 752 | 739 | 184
163 | Pogrebnyak | Alexey | Evening group | 1 | 227 | 372 | 624
164 | Pogrebnyak | Vladislav | Day group | 46 | 700 | 969 | 667
165 | Meuler | Nikita | Evening group | 45 | 44 | 904 | 878
166 | Fischer | Alexandr | Evening group | 12 | 886 | 950 | 881
167 | Fischer | Dmitriy | Evening group | 15 | 179 | 91 | 261
168 | Erochevich | Oleg | Day group | 24 | 402 | 580 | 870
169 | Chernych | Oleg | Evening group | 53 | 690 | 202 | 840
170 | Kornienko | Vladislav | Day group | 15 | 897 | 203 | 261
171 | Fischer | Maria | Evening group | 6 | 377 | 897 | 504
172 | Kot | Nikita | Evening group | 36 | 542 | 987 | 935
173 | Grechko | Achmed | Evening group | 39 | 931 | 675 | 583
174 | Grechko | Dmitriy | Day group | 13 | 567 | 782 | 889
175 | Meuler | Oleg | Day group | 17 | 735 | 614 | 501
176 | Pogrebnyak | Maria | Day group | 22 | 304 | 971 | 841
177 | Rozental | Artem | Day group | 33 | 194 | 312 | 559
178 | Bobr | Anastasia | Evening group | 13 | 211 | 777 | 523
179 | Kornienko | Valentin | Day group | 32 | 657 | 630 | 137
180 | Meye | Vladislav | Day group | 51 | 669 | 480 | 370
181 | Kornienko | Dmitriy | Day group | 55 | 180 | 541 | 790
182 | Pogrebnyak | Anastasia | Day group | 47 | 722 | 30 | 936
183 | Rozental | Dmitriy | Evening group | 25 | 217 | 223 | 974
184 | Bobr | Sonya | Evening group | 4 | 810 | 671 | 389
185 | Pogrebnyak | Valentin | Day group | 44 | 887 | 456 | 77
186 | Grechko | Elena | Day group | 26 | 640 | 718 | 418
187 | Erochevich | Vladislav | Evening group | 43 | 766 | 558 | 526
188 | Pogrebnyak | Dmitriy | Day group | 23 | 445 | 357 | 415
189 | Kornienko | Valentin | Evening group | 19 | 54 | 748 | 445
190 | Kot | Marina | Evening group | 50 | 690 | 395 | 593
191 | Kornienko | Nikita | Day group | 7 | 461 | 9 | 266
192 | Erochevich | Elena | Day group | 30 | 572 | 995 | 168
193 | Ossa | Anastasia | Evening group | 14 | 322 | 189 | 319
194 | Rozental | Vladislav | Day group | 18 | 907 | 203 | 825
195 | Meye | Marina | Evening group | 33 | 143 | 158 | 435
196 | Meye | Artem | Evening group | 19 | 372 | 170 | 884
197 | Pogrebnyak | Artem | Evening group | 8 | 5 | 24 | 228
198 | Chernych | Alexandr | Day group | 12 | 690 | 77 | 935
199 | Bobr | Oleg | Evening group | 1 | 721 | 209 | 456
200 | Meuler | Maria | Day group | 44 | 939 | 372 | 337
201 | Bobr | Vladislav | Day group | 52 | 625 | 521 | 711
202 | Meuler | Vladislav | Day group | 40 | 807 | 200 | 131
203 | Pogrebnyak | Alexey | Day group | 54 | 842 | 733 | 275
204 | Erochevich | Vladislav | Day group | 40 | 920 | 755 | 637
205 | Fischer | Vladislav | Evening group | 3 | 726 | 19 | 354
206 | Bobr | Alexey | Evening group | 7 | 633 | 174 | 818
207 | Fischer | Dmitriy | Evening group | 29 | 20 | 735 | 884
208 | Ossa | Dmitriy | Day group | 56 | 842 | 963 | 805
209 | Chernych | Anastasia | Evening group | 35 | 352 | 322 | 303
210 | Rozental | Alexandr | Day group | 5 | 188 | 513 | 938
211 | Fischer | Anastasia | Day group | 48 | 301 | 559 | 762
212 | Meye | Sonya | Evening group | 8 | 396 | 275 | 409
213 | Meye | Alexandr | Evening group | 30 | 662 | 81 | 336
214 | Meye | Vladislav | Day group | 12 | 66 | 623 | 698
215 | Meye | Valentin | Day group | 8 | 293 | 449 | 20
216 | Kot | Oleg | Day group | 14 | 255 | 437 | 334
217 | Bobr | Elena | Evening group | 54 | 522 | 283 | 780
218 | Kot | Maria | Day group | 31 | 855 | 542 | 246
219 | Kot | Maria | Evening group | 16 | 441 | 551 | 616
220 | Chernych | Oleg | Day group | 48 | 841 | 533 | 874
221 | Kornienko | Vladislav | Evening group | 30 | 854 | 347 | 378
222 | Pogrebnyak | Achmed | Day group | 8 | 962 | 651 | 53
223 | Chernych | Vladislav | Day group | 30 | 545 | 788 | 786
224 | Meye | Elena | Evening group | 52 | 632 | 70 | 498
225 | Rozental | Dmitriy | Evening group | 48 | 419 | 207 | 394
226 | Kot | Valentin | Day group | 22 | 593 | 430 | 493
227 | Meuler | Maria | Evening group | 26 | 222 | 721 | 175
228 | Bobr | Oleg | Day group | 25 | 738 | 649 | 90
229 | Bobr | Oleg | Evening group | 23 | 746 | 960 | 545
230 | Pogrebnyak | Dmitriy | Evening group | 52 | 790 | 193 | 361
231 | Erochevich | Maria | Day group | 37 | 728 | 202 | 763
232 | Meye | Sonya | Evening group | 32 | 809 | 125 | 777
233 | Bobr | Oleg | Evening group | 55 | 394 | 954 | 511
234 | Chernych | Valentin | Day group | 34 | 949 | 233 | 689
235 | Erochevich | Valentin | Day group | 52 | 881 | 30 | 306
236 | Meuler | Vladislav | Evening group | 41 | 119 | 801 | 507
237 | Rozental | Elena | Day group | 51 | 6 | 926 | 336
238 | Kot | Sonya | Day group | 31 | 106 | 817 | 322
239 | Bobr | Elena | Day group | 45 | 442 | 915 | 665
240 | Grechko | Dmitriy | Evening group | 41 | 205 | 323 | 727
241 | Meuler | Valentin | Evening group | 31 | 568 | 737 | 915
242 | Kot | Artem | Evening group | 23 | 575 | 158 | 230
243 | Grechko | Nikita | Evening group | 9 | 514 | 310 | 977
244 | Meuler | Dmitriy | Evening group | 36 | 998 | 111 | 583
245 | Fischer | Nikita | Evening group | 41 | 317 | 1 | 571
246 | Erochevich | Alexandr | Evening group | 10 | 709 | 651 | 579
247 | Erochevich | Alexey | Evening group | 52 | 540 | 456 | 316
